IPAddress,Duration (in seconds),RecordedDate,ResponseId,LocationLatitude,LocationLongitude,UserLanguage,Consent,wolf,read timer_First Click,read timer_Last Click,read timer_Page Submit,read timer_Click Count,exp timer_First Click,exp timer_Last Click,exp timer_Page Submit,exp timer_Click Count,allocate1,allocate2,allocate3,timer token First Click,timer token Last Click,timer token Page Submit,timer token Click Count,why,timer why First Click,timerwhyLast Click,timerwhyPage Submit,timer whyClick Count,mancheck1,norms,norms timer_First Click,norms timer_Last Click,norms timer_Page Submit,norms timer_Click Count,EE1,belief timer First Click,belief timer Last Click,belief timer Page Submit,belief timer Click Count,RiskBattery_1,IE-4 LOC_1,IE-4 LOC_2,IE-4 LOC_3,IE-4 LOC_4,IE-4 LOC_5,DUREL 1_1,DUREL 2,durel 3_1,durel 3_2,durel 3_3,heart,Age_1,politics_1,religaffil,other,UID,arm
24.230.135.23,215,8/24/26 10:56,R_7rxlZSt6Gujh9Nk,48.2261,-101.2974,EN,69e2d1b2c16fed320bcfde0e,lion,0,0,16.997,0,0,0,6.303,0,100,0,0,2.846,2.846,8.321,1,I believe in the Holy Bible which clearly says that God created the universe I understand what the scientific data may say but I dont interpret the Bible by what science says rather I interpret science by what the Bible says,1.198,1.198,76.496,1,1,2,3.999,10.859,11.814,2,40,6.011,6.011,6.82,1,10,2,4,4,5,3,4,5,2,1,1,1,42,60,1,Baptist Christian. ,R_7rxlZSt6Gujh9Nk,0
64.67.158.154,277,8/24/26 10:56,R_31nmhWDltGEjUYW,40.6937,-75.1902,EN,69afc44af08f990ebffa5059,Lion,7.744,11.464,12.5,3,0,0,5.891,0,70,20,10,11.127,11.127,15.38,1,I am a Christian so i believe god had created everything I feel like life and atoms are so detailed down to a point that it must be created and not random chance Concerning how the universe was made it was always the big bang But science has not told us how nor why this theory is as likely as my theory that something created it,4.714,4.714,89.353,1,3,3,6.24,13.359,14.323,2,35,9.557,12.806,13.697,2,31,4,3,4,5,3,3,5,3,1,1,1,21,31,1,"Currently a Christian, and a member of the the OPC denomination.",R_31nmhWDltGEjUYW,0
68.58.32.187,286,8/24/26 10:56,R_384SytlbePARkWd,40.0623,-86.0585,EN,69bf654cd16e7351998e098a,lion,2.915,10.575,13.149,2,0,0,1.842,0,75,20,5,8.899,8.899,14.071,1,God created the universe so theres the idea that if God created man and the world than our purpose is to serve a higher power and live out our purpose with the other people who inhabit the world Thats the sole reason to me,1.587,1.587,136.525,1,4,4,3.45,5.256,6.676,2,40,11.519,11.519,12.109,1,16,1,1,3,5,3,0,1,5,5,5,1,27,23,5,nondem Christian,R_384SytlbePARkWd,0
73.27.152.121,319,8/24/26 10:57,R_1gLNckiPPMZNyVI,27.0602,-82.3533,EN,642b2d8a7b84306d49e2f4b0,lion,0,0,27.186,0,0,0,6.843,0,90,5,5,15.516,15.516,17.804,1,If the universe has a beginning then there had to have been something before that so what was before that time How can they tell No one knows what is really going on but evolution is a joke and there are way too many coincidences and beautiful situations just right here on earth that tell you its all connected the universe didnt just magically appear,2.121,47.195,100.848,2,2,3,10.872,27.46,28.337,4,40,5.903,5.903,6.8,1,33,1,5,5,5,2,0,3,1,5,5,1,43,100,13,"spiritual, not religious",R_1gLNckiPPMZNyVI,0
66.182.116.242,464,8/24/26 10:59,R_611qsBpTSWBi2bz,33.0073,-111.9324,EN,69fb8ba20882b566f5d81070,lion,5.49,44.169,45.003,20,11.008,14.471,16.593,2,90,5,5,1.019,10.204,11.424,5,I believe in God because I have had a personal experience where I received a very direct and clearcut response from God I also see the way life has played out too many times to be mere coincidence,10.664,52.354,112.333,5,3,3,1.313,18.009,19.391,12,82,1.476,21.87,22.823,4,70,2,4,4,5,4,0,6,2,3,2,1,57,55,5,I am not religious as much as I am someone trying to have a personal relationship with God and conduct myself accordingly.,R_611qsBpTSWBi2bz,0
99.60.19.57,340,8/24/26 11:00,R_7lhiee0rUMcievc,34.0515,-118.2707,EN,6a35598f422648f1efa3b579,lion,9.509,9.509,16.32,1,0,0,6.994,0,90,5,5,7.549,29.557,40.462,2,The Lord God created the universe He spoke it into existence He is the One who put the stars planets etc in their place He holds all things together by His hand Nothing was by chance or happened accidentaly,2.064,2.064,90.59,1,5,1,3.665,10.976,12.158,2,59,9.155,9.155,10.121,1,30,2,5,5,5,2,31,5,1,1,1,1,49,3,1,I am a Christian. ,R_7lhiee0rUMcievc,0
46.110.47.10,649,8/24/26 11:02,R_516G324U3sxouFB,40.8771,-85.5045,EN,631542cace8d3c032e1acbd0,LION,0,0,47.932,0,0,0,15.991,0,90,5,5,3.873,36.631,68.042,2,I think a higher power or source is always readily available and in charge of keeping the universe in motion along with most things within it and those around it too,3.618,3.618,158.385,1,5,1,6.214,12.565,18.448,2,50,32.628,36.547,37.801,2,50,1,3,4,5,4,0,4,1,2,2,1,43,50,5,Christian no denomination,R_516G324U3sxouFB,0
99.145.25.14,270,8/24/26 11:08,R_7ahGS9AmySscytP,38.9095,-77.0436,EN,671c701486295dbfb4b6911c,lion,19.195,22.822,23.922,2,8.836,8.836,10.437,1,90,5,5,3.361,22.05,22.864,9,Someone must have had to create the very foundations of the universe to set the stage for them to independently evolve,4.369,4.369,45.839,1,4,2,6.125,20.248,20.843,4,52,2.889,12.035,12.814,2,65,3,4,3,5,4,1,1,3,3,3,1,29,59,12,prefer not to say,R_7ahGS9AmySscytP,0
98.253.41.211,328,8/24/26 10:57,R_3Vwg0HEEVlh3Oxo,41.7609,-88.0151,EN,6400df45e639d203b8518cad,lion,0,0,36.91,0,0,0,8.494,0,90,0,10,26.939,44.473,46.002,4,I believe in a Creator for the most part but acknowledge I could be wrong But I dont think things are undirected I feel everything has a purpose even if we dont know the purpose,1.391,1.391,115.469,1,1,1,3.387,8.754,13.686,2,45,7.867,7.867,14.063,1,10,2,2,3,5,4,10,6,4,1,1,1,41,70,7,Islam,R_3Vwg0HEEVlh3Oxo,0
174.229.72.179,321,8/24/26 10:57,R_6XByMCPax43leWl,40.726,-73.848,EN,65edebf1c2c09681c2b91185,Lion,0.956,37.893,38.77,9,0,0,9.531,0,75,5,20,4.973,43.992,44.668,10,I do believe there is a higher power I dont necessarily know what that is or who that is but I dont believe that there is not some type of energy or force behind the creation of the Earth theres no way that you can really convince me otherwise I can never say 100% thats why I left the 5% in the other category but I honestly dont even think its that high of a percentage,3.281,3.281,39.845,1,2,4,1.889,26.292,26.7,10,65,7.125,12.033,12.501,2,46,1,3,4,5,3,0,5,2,4,4,1,47,40,2,I just answered this question Roman Catholic.,R_6XByMCPax43leWl,0
