IPAddress,Duration (in seconds),RecordedDate,ResponseId,LocationLatitude,LocationLongitude,PID,treatment,read timer_First Click,read timer_Last Click,read timer_Page Submit,read timer_Click Count,exp timer_First Click,exp timer_Last Click,exp timer_Page Submit,exp timer_Click Count,allocate1,allocate2,allocate3,timer token First Click,timer token Last Click,timer token Page Submit,timer token Click Count,why,timer why First Click,timerwhyLast Click,timerwhyPage Submit,timer whyClick Count,mancheck1,norms,norms timer_First Click,norms timer_Last Click,norms timer_Page Submit,norms timer_Click Count,EE1,belief timer First Click,belief timer Last Click,belief timer Page Submit,belief timer Click Count,RiskBattery_1,IE-4 LOC_1,IE-4 LOC_2,IE-4 LOC_3,IE-4 LOC_5,DUREL 1_1,DUREL 2,durel 3_1,durel 3_2,durel 3_3,heart,Age,politics,religaffil,otherreligion,arm,Total approvals,Age2,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
134.215.85.129,266,8/24/26 11:04,R_1pLGWFbvV9mQ29y,30.8133,-81.6887,5658d6d67d69570012dfe258,c,0,0,15.575,0,0,0,1.771,0,40,0,60,1.821,8.754,13.348,2,I know there is a God but I dont know what God is and I think its nature is unknowable However I will not support the idea that the universe is totally random So you can see from my distribution that I support the idea that there is a concrete answer to how the universe came about as well as the idea that we cant know the answer but not that there is no answer,2.075,2.075,91.352,1,3,4,8.402,15.449,16.893,2,30,5.709,8.162,9.536,2,20,2,4,5,1,0,4,1,2,2,1,51,90,1,United Methodist,1,5339,51,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
98.115.47.233,421,8/24/26 11:03,R_7gRgN7j0oq2w4M7,40.1101,-75.1567,57dd766bbcd7150001ded5de,c,0,0,37.041,0,0,0,4.049,0,85,10,5,4.868,12.178,23.94,3,I feel as a human with my perception that there likely is some sort of order and deliberation in the founding and continuance of the universe It seems too unlikely that things simply happened for no purpose and continue to seemingly be chaotic with no reason nor rhyme It may be true about unguided or we cannot know about the universe but I bet more on direction and purpose,1.248,1.248,125.638,1,4,2,5.38,13.448,20.506,2,80,9.564,9.564,15.169,1,72,3,4,3,4,1,4,3,3,4,1,57,50,2,I am still a Catholic even though I do not go to weekly Mass and do not always follow what the Pope or my faith say,1,10587,57,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69.249.13.141,520,8/24/26 11:04,R_30WdJAkVhDBkK5z,40.3721,-75.2927,5ba292385301b80001c71ba2,c,17.863,17.863,19.496,1,0,0,1.187,0,60,20,20,0.822,8.586,9.137,3,There is a devine creator that designed and made the universe as only a divine creator can make such a vast and superior universe,1.477,50.116,54.296,3,5,1,2.957,13.892,15.501,6,70,6.476,7.318,8.001,2,82,2,4,5,1,4,5,1,1,2,1,53,1,2,Catholic,1,22853,53,Male,White,United States,United States,United States,English,No,Full-Time
35.141.184.22,269,8/24/26 11:02,R_6Cdn6fLZiX6zFVQ,27.8673,-82.7091,5d07ce1342a8400018a27494,c,0,0,78.896,0,0,0,1.985,0,5,20,75,4.272,20.357,22.943,6,I personally dont believe in a higher power I believe the universe works completely at random with no real reason,2.314,4.181,29.767,2,3,4,5.678,12.113,12.734,6,40,8.77,11.299,11.8,2,81,2,4,5,3,0,1,5,5,5,1,28,97,10,I do not have a religion,1,1677,28,Female,White,United States,United States,United States,English,No,Full-Time
23.240.37.169,608,8/24/26 11:10,R_68SUMb41fRC8tOS,34.1851,-118.7706,5df967d2f6191f6e87b236e6,c,1.618,8.14,9.288,6,0,0,3.358,0,30,50,20,13.801,42.592,43.266,19,I think it is important to allocate more tokens to what is certain After that allocating some remaining tokens to experiments is something that is good to do,3.8,3.8,32.16,1,5,3,4.1,10.218,11.033,8,49,3.465,3.465,3.964,1,50,2,3,3,1,0,1,5,5,5,1,29,49,10,none,1,13667,36,Male,Asian,United States,United States,United States,English,No,Full-Time
75.178.82.194,688,8/24/26 11:16,R_1hzkpJrApCRkdGh,34.6919,-77.1085,5ecbdb9194a726075eb697c2,c,9.784,17.05,17.502,2,0,0,1.205,0,70,0,0,12.834,12.834,18.931,1,My personal belief is that the universe is far too large complex and amazing to not be created by a higher power I truly believe in a God who was the maker and creator of this universe It is a core personal belief and framework of mine,3.181,96.866,97.497,2,3,2,6.915,23.926,24.203,4,60,8.311,9.539,12.196,3,83,4,3,4,4,4,3,2,2,2,1,36,50,2,Roman Catholic practicing,1,9269,36,Male,White,United States,United States,United States,English,No,Full-Time
74.193.165.145,950,8/24/26 11:12,R_62bbOhMH7HAziJL,30.8463,-93.2891,5eec8774ff59de0009913a65,c,27.207,28.061,50.713,2,0,0,2.122,0,80,0,20,23.441,109.874,111.688,3,I firmly believe in the existence of an intelligent energy behind the creation of all that is but I do realize that this cannot be proven at least at this time in a laboratory setting through traditional scientific methods so in fairness I had to allocate 20 points to the not enough evidence choice I believe that there are far too many things that have occurred that cannot be explained by any logical means that I just could not justify allocating any points to the idea that there is not guiding mind of any type behind all that exists Despite my 20 points to the cant prove one or the other I simply cannot conceive of existence as being completely random,1.99,244.272,332.774,6,3,2,9.674,24.215,51.893,3,70,14.25,14.25,21.54,1,5,1,5,5,2,0,6,1,1,1,1,68,98,6,I am a Reconstructionist Jew who is also a follower of the teachings of Maharaji Neem Karoli Baba In many ways I would consider myself to be more spiritual than religious My beliefs are a significant part of my daily life but I dont observe specific holidays religious or non religious and due to being disabled and primarily homebound now can no longer attend any type of religious services either,1,6276,68,Female,White,United States,United States,United States,English,No,Other
24.13.166.51,712,8/24/26 11:07,R_5O6PwQDnxCL9Q2v,41.8957,-87.9435,5f627a1e4b807f1aa7e35280,c,0,0,166.639,0,0,0,1.545,0,38,15,47,6.768,21.296,39.778,4,I approached the task from a logical scientific perspective There is a large amount of evidence that the origin is undirected Unknowable received the most because humans dont have the capacity at present to understand test or observe the origin And finally direct origin received the least because logically and scientifically this can not be true,14.342,176.837,196.844,4,2,5,32.397,75.165,83.892,2,68,27.182,27.182,37.515,1,8,2,3,3,2,0,2,5,4,4,1,52,63,2,I was born and raised a Roman Catholic however I do not actively practice as an adult,1,7965,52,Female,White,United States,United States,United States,English,No,Full-Time
69.246.73.116,328,8/24/26 11:09,R_1HTcisiDH1yKKIZ,35.0875,-89.7639,60a7c4434b322876925afaa3,c,0,0,2.034,0,0,0,1.345,0,40,5,55,1.601,18.866,23.767,3,There is no possible way to know the answer while alive There is no science that proves either choice but the science I know about leans toward everything coming about spontaneously The only reason is why people believe in a being is because it is written in a book and anyone can write anything in a book truth or not,1.737,1.737,116.315,1,2,2,8.567,18.807,19.886,2,64,8.005,17.265,18.862,2,70,2,4,3,2,0,1,5,3,3,1,77,45,10,I am a Jewish atheist,1,12272,77,Female,White,United States,United States,United States,English,No,Part-Time
149.75.129.12,317,8/24/26 11:02,R_33VL4swvEU7Cuya,41.6904,-87.6157,60c12fe6ca8c4aa6d0185190,c,7.572,7.572,51.469,1,0,0,2.635,0,5,75,20,3.4,19.054,22.217,9,I believe that natural is inherently random and non deterministic All evidence Ive seen so far points to a random chaotic universe only held together by natural physical laws,1.344,44.396,111.209,5,1,5,3.668,16.578,18.039,4,56,7.739,8.924,11.227,3,68,3,4,5,2,1,1,1,1,1,1,42,94,1,non practicing Baptist,1,16973,42,Male,Black,United States,United States,United States,English,No,Full-Time
